,gene_symbol,myAUC,myDiff,power,cluster #
2371,CNGA1,65 -1,.786474 0.,235,18
2372,GNGT1,89 -1,.797833 0.,311,18
2373,RS1,68 -1,.853854 0.,232,18
2374,GNAT1,14 -1,.946696 0.,286,18
2375,PRPH2,02 -1,.956290 0.,298,18
2376,RHO,80 -2,.007748 0.,320,18
2381,LAMP5,0.966,2.812286,0.466,19
2382,GABRA1,0.897,2.484680,0.397,19
2383,SLC24A3,0.927,2.393144,0.427,19
2384,NHLH2,0.945,2.383320,0.445,19
2385,LY6H,0.876,2.116752,0.376,19
2386,EBF1,0.874,2.024209,0.374,19
2387,SNHG11,0.922,1.988360,0.422,19
2388,NDRG4,0.876,1.960583,0.376,19
2389,CDH22,0.815,1.785911,0.315,19
2390,SPHKAP,0.886,1.743169,0.386,19
2391,PNMAL2,0.867,1.735673,0.367,19
2392,SIX3,0.851,1.695121,0.351,19
2393,PTPRT,0.803,1.687676,0.303,19
2394,PTGDS,0.783,1.682383,0.283,19
2395,SLC6A9,0.811,1.678064,0.311,19
2396,CAMKV,0.818,1.675469,0.318,19
2397,NRXN2,0.848,1.674929,0.348,19
2398,ELAVL3,0.862,1.653420,0.362,19
2399,PTPRD,0.849,1.648261,0.349,19
2400,SYT13,0.813,1.625862,0.313,19
2401,CHN2,0.797,1.618956,0.297,19
2402,AQP6,0.736,1.613186,0.236,19
2403,CABP1,0.840,1.607853,0.340,19
2404,TCF4,0.879,1.577171,0.379,19
2405,LDHB,0.829,1.565948,0.329,19
2406,RAB3C,0.777,1.545867,0.277,19
2407,PRDM13,0.768,1.521082,0.268,19
2408,INA,0.852,1.511391,0.352,19
2409,SIX6,0.783,1.490271,0.283,19
2410,KCTD8,0.766,1.472089,0.266,19
2411,MEG3,0.905,1.468522,0.405,19
2412,PAX6,0.823,1.451718,0.323,19
2413,APP,0.852,1.450537,0.352,19
2414,OGFRL1,0.821,1.437451,0.321,19
2415,ATP1B1,0.855,1.426796,0.355,19
2416,6430548M08RIK,0.803,1.419158,0.303,19
2417,NECAB1,0.749,1.374682,0.249,19
2418,VAT1L,0.743,1.371743,0.243,19
2419,NNAT,0.722,1.357449,0.222,19
2420,NRSN1,0.790,1.356337,0.290,19
2421,DPP6,0.765,1.355499,0.265,19
2422,NSG1,0.771,1.344649,0.271,19
2423,TKT,0.806,1.341063,0.306,19
2424,CDK14,0.761,1.337859,0.261,19
2425,FRRS1L,0.709,1.335420,0.209,19
